O*NET-SOC Code,Title,Alternate Title,Short Title,Source(s)
15-1241.01,Telecommunications Engineering Specialists,Telecommunications Operator (Telecom Operator),Telecom Operator,10
15-1241.01,Telecommunications Engineering Specialists,Telecommunications Specialist (Telecom Specialist),Telecom Specialist,"08,10"
15-1241.01,Telecommunications Engineering Specialists,Telecommunications Systems Engineer,,10
15-1241.01,Telecommunications Engineering Specialists,Unified Communications Engineer,,10
15-1241.01,Telecommunications Engineering Specialists,Voice Engineer,,10
15-1241.01,Telecommunications Engineering Specialists,VOIP Engineer (Voice Over Internal Protocol Engineer),VOIP Engineer,10
15-1241.01,Telecommunications Engineering Specialists,VoIP Engineer (Voice Over Internet Protocol Engineer),VoIP Engineer,10
15-1241.01,Telecommunications Engineering Specialists,VoIP Network Engineer (Voice over Internet Protocol Network Engineer),VoIP Network Engineer,01
15-1242.00,Database Administrators,Administrator (Admin),Admin,10
15-1242.00,Database Administrators,Automatic Data Processing Planner (ADP Planner),ADP Planner,"04,08"
15-1242.00,Database Administrators,Cyber Database Administrator (Cyber DBA),Cyber DBA,03
15-1242.00,Database Administrators,Data Administrator (Data Admin),Data Admin,08
15-1242.00,Database Administrators,Data Management Associate,,08
15-1242.00,Database Administrators,Data Management IT Specialist (Data Management Information Technology Specialist),Data Management IT Specialist,08
15-1242.00,Database Administrators,Data Miner,,08
15-1242.00,Database Administrators,Data Recovery Planner,,08
15-1242.00,Database Administrators,Data Security Administrator,,01
15-1242.00,Database Administrators,Data Storage Specialist,,08
15-1242.00,Database Administrators,Database Administration Associate,,08
15-1242.00,Database Administrators,Database Administration Manager,,"02,04"
15-1242.00,Database Administrators,Database Administrator (DBA),DBA,"01,02,10"
15-1242.00,Database Administrators,Database Analyst,,02
15-1242.00,Database Administrators,Database Coordinator,,"02,04"
15-1242.00,Database Administrators,Database Design Analyst,,08
15-1242.00,Database Administrators,Database Developer,,10
15-1242.00,Database Administrators,Database Engineer,,02
15-1242.00,Database Administrators,Database Management System Specialist (DBMS Specialist),DBMS Specialist,08
15-1242.00,Database Administrators,Database Manager,,"02,08"
15-1242.00,Database Administrators,Database Programmer,,04
15-1242.00,Database Administrators,Database Security Administrator,,"04,08"
15-1242.00,Database Administrators,Database Software Technician (Database Software Tech),Database Software Tech,08
15-1242.00,Database Administrators,Database Specialist,,08
15-1242.00,Database Administrators,Database Technician (Database Tech),Database Tech,08
15-1242.00,Database Administrators,Database Tester,,08
15-1242.00,Database Administrators,Databases Computer Consultant,,08
15-1242.00,Database Administrators,Databases Software Consultant,,08
15-1242.00,Database Administrators,Development and Database Administration Manager,,02
15-1242.00,Database Administrators,"ETL Developer (Extract, Transform and Load Developer)",ETL Developer,10
15-1242.00,Database Administrators,Information Technology Administrator (IT Administrator),IT Administrator,08
15-1242.00,Database Administrators,Internet Database Specialist,,08
15-1242.00,Database Administrators,IS Admin (Information Systems Administrator),IS Admin,"02,08"
15-1242.00,Database Administrators,IS Security Manager (Information Systems Security Manager),IS Security Manager,01
15-1242.00,Database Administrators,Picture Archiving and Communication Systems Administrator (PACS Administrator),PACS Administrator,08
15-1242.00,Database Administrators,Security Administrator,,01
15-1242.00,Database Administrators,SQL DBA (Structured Query Language Database Administrator),SQL DBA,10
15-1242.00,Database Administrators,Systems Administrator (Systems Admin),Systems Admin,02
15-1242.00,Database Administrators,Systems Tester Admin (Systems Tester Administrator),Systems Tester Admin,01
15-1243.00,Database Architects,ADP Planner (Automatic Data Processing Planner),ADP Planner,08
15-1243.00,Database Architects,Big Data Architect,,"02,10"
15-1243.00,Database Architects,Big Data Engineer,,01
15-1243.00,Database Architects,Cloud Architect,,01
15-1243.00,Database Architects,Cloud Infrastructure Architect,,10
15-1243.00,Database Architects,Computer Architect,,08
15-1243.00,Database Architects,Data Analyst,,08
15-1243.00,Database Architects,Data Architect,,"02,04,08"
15-1243.00,Database Architects,Data Engineer,,"02,08"
15-1243.00,Database Architects,Data Governance Analyst,,10
15-1243.00,Database Architects,Data Integration Specialist,,04
15-1243.00,Database Architects,Data Management IT Specialist (Data Management Information Technology Specialist),Data Management IT Specialist,08
15-1243.00,Database Architects,Data Manager,,08
15-1243.00,Database Architects,Data Miner,,08
15-1243.00,Database Architects,Data Modeler,,08
15-1243.00,Database Architects,Data Modeling Specialist,,08
15-1243.00,Database Architects,Data Officer,,02
15-1243.00,Database Architects,Data Privacy Officer,,01
15-1243.00,Database Architects,Data Recovery Planner,,08
15-1243.00,Database Architects,Data Storage Specialist,,08
15-1243.00,Database Architects,Data Warehouse Architect,,08
15-1243.00,Database Architects,Data Warehouse Programmer,,01
15-1243.00,Database Architects,Data Warehousing Engineer,,08
15-1243.00,Database Architects,Database Analyst,,02
15-1243.00,Database Architects,Database Architect,,02
15-1243.00,Database Architects,Database Computer Consultant,,08
15-1243.00,Database Architects,Database Consultant,,02
15-1243.00,Database Architects,Database Design Analyst,,08
15-1243.00,Database Architects,Database Designer,,08
15-1243.00,Database Architects,Database Developer,,"02,04"
15-1243.00,Database Architects,Database Engineer,,08
15-1243.00,Database Architects,Database Manager,,08
15-1243.00,Database Architects,Database Modeler,,08
15-1243.00,Database Architects,Database Programmer,,02
15-1243.00,Database Architects,Database Software Consultant,,08
15-1243.00,Database Architects,Database Software Tech (Database Software Technician),Database Software Tech,08
15-1243.00,Database Architects,Database Specialist,,08
15-1243.00,Database Architects,DBMS Specialist (Database Management System Specialist),DBMS Specialist,08
15-1243.00,Database Architects,Developer,,"01,08,10"
15-1243.00,Database Architects,Enterprise Architect,,"02,08"
15-1243.00,Database Architects,Enterprise Data Architect,,"02,10"
15-1243.00,Database Architects,Information Architect,,02
15-1243.00,Database Architects,Information Engineer,,08
15-1243.00,Database Architects,Infrastructure Architect,,08
15-1243.00,Database Architects,Internet Database Specialist,,08
15-1243.00,Database Architects,Knowledge Architect,,08
15-1243.00,Database Architects,Public Key Infrastructure Analyst (PKI Analyst),PKI Analyst,01
15-1243.00,Database Architects,Server Developer,,08
15-1243.00,Database Architects,Solutions Architect,,"02,08"
15-1243.01,Data Warehousing Specialists,Analytics Manager,,01
15-1243.01,Data Warehousing Specialists,Big Data Engineer,,01
15-1243.01,Data Warehousing Specialists,Data Integrity Specialist,,10
15-1243.01,Data Warehousing Specialists,Data Management Engineer,,10
15-1243.01,Data Warehousing Specialists,Data Management Manager,,10
15-1243.01,Data Warehousing Specialists,Data Management Specialist,,10
15-1243.01,Data Warehousing Specialists,Data Migration Specialist,,10
15-1243.01,Data Warehousing Specialists,Data Quality Analyst,,01
15-1243.01,Data Warehousing Specialists,Data Specialist,,10
15-1243.01,Data Warehousing Specialists,Data Storage Specialist,,08
15-1243.01,Data Warehousing Specialists,Data Warehouse Analyst,,"02,10"
15-1243.01,Data Warehousing Specialists,Data Warehouse Developer,,10
15-1243.01,Data Warehousing Specialists,Data Warehouse Engineer,,10
15-1243.01,Data Warehousing Specialists,"Data Warehouse ETL Developer (Data Warehouse Extract, Transform, and Load Developer)",Data Warehouse ETL Developer,10
15-1243.01,Data Warehousing Specialists,Data Warehouse Programmer,,01
15-1243.01,Data Warehousing Specialists,Data Warehouse Solution Architect,,02
15-1243.01,Data Warehousing Specialists,Data Warehouse Specialist,,08
15-1243.01,Data Warehousing Specialists,Data Warehousing Engineer,,08
15-1243.01,Data Warehousing Specialists,Data Warehousing Specialist,,08
15-1243.01,Data Warehousing Specialists,Database Specialist,,10
15-1243.01,Data Warehousing Specialists,ETL Developer (Extract-Transform-Load Developer),ETL Developer,01
15-1243.01,Data Warehousing Specialists,ETL Tester (Extract-Transform-Load Tester),ETL Tester,10
15-1243.01,Data Warehousing Specialists,Research Data Specialist,,10
15-1243.01,Data Warehousing Specialists,Storage Engineer,,10
15-1244.00,Network and Computer Systems Administrators,Administrator (Admin),Admin,10
15-1244.00,Network and Computer Systems Administrators,AI Security Specialist (Artificial Intelligence Security Specialist),AI Security Specialist,01
15-1244.00,Network and Computer Systems Administrators,Application Security Administrator,,01
15-1244.00,Network and Computer Systems Administrators,Application Systems Administrator,,08
15-1244.00,Network and Computer Systems Administrators,Computer Systems Security Administrator,,04
15-1244.00,Network and Computer Systems Administrators,E-Mail System Administrator,,08
15-1244.00,Network and Computer Systems Administrators,Enterprise Systems Administrator,,08
15-1244.00,Network and Computer Systems Administrators,Hardware Installation Coordinator,,01
15-1244.00,Network and Computer Systems Administrators,Information Analyst,,02
15-1244.00,Network and Computer Systems Administrators,Information Systems Administrator,,08
15-1244.00,Network and Computer Systems Administrators,Information Systems Coordinator (IS Coordinator),IS Coordinator,02
15-1244.00,Network and Computer Systems Administrators,Information Systems Operator,,01
15-1244.00,Network and Computer Systems Administrators,Information Technology Administrator (IT Administrator),IT Administrator,"09,10"
15-1244.00,Network and Computer Systems Administrators,Information Technology Specialist (IT Specialist),IT Specialist,"02,08"
15-1244.00,Network and Computer Systems Administrators,Information Technology Technical Support Specialist (IT Technical Support Specialist),IT Technical Support Specialist,02
15-1244.00,Network and Computer Systems Administrators,Installation Coordinator,,01
15-1244.00,Network and Computer Systems Administrators,Internet Systems Administrator,,01
15-1244.00,Network and Computer Systems Administrators,Internetwork Expert (CCIE),CCIE,09
15-1244.00,Network and Computer Systems Administrators,IT Systems Admin (Information Technology Systems Administrator),IT Systems Admin,"02,08,10"
15-1244.00,Network and Computer Systems Administrators,LAN Specialist (Local Area Network Specialist),LAN Specialist,02
15-1244.00,Network and Computer Systems Administrators,Local Area Network Administrator (LAN Administrator),LAN Administrator,"02,04"
15-1244.00,Network and Computer Systems Administrators,Local Area Network Systems Administrator (LAN Systems Administrator),LAN Systems Administrator,04
15-1244.00,Network and Computer Systems Administrators,Mainframe Systems Administrator,,08
15-1244.00,Network and Computer Systems Administrators,MIS Manager (Management Information Systems Manager),MIS Manager,02
15-1244.00,Network and Computer Systems Administrators,Network Administrator,,"02,10"
15-1244.00,Network and Computer Systems Administrators,Network Control Analyst,,01
15-1244.00,Network and Computer Systems Administrators,Network Coordinator,,"02,04"
15-1244.00,Network and Computer Systems Administrators,Network Manager,,"02,08,10"
15-1244.00,Network and Computer Systems Administrators,Network Professional (CCNP),CCNP,09
15-1244.00,Network and Computer Systems Administrators,Network Security Administrator,,04
15-1244.00,Network and Computer Systems Administrators,Network Support Administrator,,08
15-1244.00,Network and Computer Systems Administrators,Network Support Coordinator,,"02,04"
15-1244.00,Network and Computer Systems Administrators,Network Support Manager,,"02,04"
15-1244.00,Network and Computer Systems Administrators,Network Systems Administrator,,"02,04"
15-1244.00,Network and Computer Systems Administrators,Network Systems Coordinator,,"02,04"
15-1244.00,Network and Computer Systems Administrators,Network Transport Administrator,,01
15-1244.00,Network and Computer Systems Administrators,Networking Administrator,,09
15-1244.00,Network and Computer Systems Administrators,Provider Network Manager,,10
15-1244.00,Network and Computer Systems Administrators,Security Administrator,,01
15-1244.00,Network and Computer Systems Administrators,Server Administrator,,"02,09,10"
15-1244.00,Network and Computer Systems Administrators,Software Manager,,01
15-1244.00,Network and Computer Systems Administrators,System Administrator (System Admin),System Admin,"01,03,10"
15-1244.00,Network and Computer Systems Administrators,Systems Administrator,,"02,08,10"
15-1244.00,Network and Computer Systems Administrators,Systems Operator,,02
15-1244.00,Network and Computer Systems Administrators,Systems Tester Administrator,,01
15-1244.00,Network and Computer Systems Administrators,Virtualization Engineer,,01
15-1244.00,Network and Computer Systems Administrators,Wide Area Network Administrator (WAN Administrator),WAN Administrator,"02,04"
15-1244.00,Network and Computer Systems Administrators,Wide Area Network Systems Administrator (WAN Systems Administrator),WAN Systems Administrator,04
15-1244.00,Network and Computer Systems Administrators,Windows Administrator,,01
15-1251.00,Computer Programmers,.NET Programmer,,10
15-1251.00,Computer Programmers,Analyst Programmer,,02
15-1251.00,Computer Programmers,Application Programmer,,10
15-1251.00,Computer Programmers,Application Programmer Analyst,,02
15-1251.00,Computer Programmers,Applications Programmer,,"04,09,10"
15-1251.00,Computer Programmers,Beta Tester,,09
15-1251.00,Computer Programmers,Bug Bounty Hunter,,01
15-1251.00,Computer Programmers,Business Programmer,,"04,06,07"
15-1251.00,Computer Programmers,Certified Ethical Hacker,,09
15-1251.00,Computer Programmers,Client Server Programmer,,"04,06,07"
15-1251.00,Computer Programmers,Cloud Engineer,,01
15-1251.00,Computer Programmers,COBOL Programmer (Common Business Oriented Language Programmer),COBOL Programmer,09
15-1251.00,Computer Programmers,Computer Game Programmer,,08
15-1251.00,Computer Programmers,Computer Language Coder,,04
15-1251.00,Computer Programmers,Computer Programmer,,"02,04,08,10"
15-1251.00,Computer Programmers,Computer Programmer Analyst,,02
15-1251.00,Computer Programmers,Database Programmer,,09
15-1251.00,Computer Programmers,E-Commerce Programmer (Electronic Commerce Programmer),E-Commerce Programmer,01
15-1251.00,Computer Programmers,Engineer,,08
15-1251.00,Computer Programmers,Engineering and Scientific Programmer,,08
15-1251.00,Computer Programmers,Engineering Programmer,,"04,06,07"
15-1251.00,Computer Programmers,Game Programmer,,09
15-1251.00,Computer Programmers,Graphic Engineer,,09
15-1251.00,Computer Programmers,Internet Programmer,,"02,04,06,07"
15-1251.00,Computer Programmers,IT Programmer (Information Technology Programmer),IT Programmer,04
15-1251.00,Computer Programmers,Java Architect,,01
15-1251.00,Computer Programmers,Java Developer,,"02,08"
15-1251.00,Computer Programmers,Java Programmer,,09
15-1251.00,Computer Programmers,Mainframe Programmer,,"04,06,07"
15-1251.00,Computer Programmers,Malware Analyst,,01
15-1251.00,Computer Programmers,Object-Oriented Programmer,,"04,06,07"
15-1251.00,Computer Programmers,Operating System Programmer,,08
15-1251.00,Computer Programmers,Program Analyst,,10
15-1251.00,Computer Programmers,Programmer,,"02,08,09,10"
15-1251.00,Computer Programmers,Programmer Analyst,,02
15-1251.00,Computer Programmers,Scientific Programmer,,08
15-1251.00,Computer Programmers,Software Programmer,,08
15-1251.00,Computer Programmers,Statistical Programmer,,10
15-1251.00,Computer Programmers,Systems Programmer,,"02,04,06,07,10"
15-1251.00,Computer Programmers,Video Game Programmer,,09
15-1251.00,Computer Programmers,Web Applications Programmer,,02
15-1251.00,Computer Programmers,Web Programmer,,"02,06,07"
15-1251.00,Computer Programmers,Website Programmer,,08
15-1251.00,Computer Programmers,White Hat Hacker,,09
15-1252.00,Software Developers,AI Specialist (Artificial Intelligence Specialist),AI Specialist,08
15-1252.00,Software Developers,Application Analyst,,08
15-1252.00,Software Developers,Application Architect,,08
15-1252.00,Software Developers,Application Developer,,"02,04,08"
15-1252.00,Software Developers,Application Engineer,,08
15-1252.00,Software Developers,Application Integration Engineer,,"02,04"
15-1252.00,Software Developers,Application Integrator,,08
15-1252.00,Software Developers,Application Programmer,,08
15-1252.00,Software Developers,Application Software Engineering IT Specialist (Application Software Engineering Information Technology Specialist),Application Software Engineering IT Specialist,08
15-1252.00,Software Developers,Application Support Engineer,,01
15-1252.00,Software Developers,Application Systems Analyst,,08
15-1252.00,Software Developers,Application Systems Architect,,01
15-1252.00,Software Developers,Beta Tester,,08
15-1252.00,Software Developers,Business Application Developer,,01
15-1252.00,Software Developers,Certified Internetwork Expert,,08
15-1252.00,Software Developers,Commercial Drone Software Developer,,08
15-1252.00,Software Developers,Computer Application Developer,,"04,08"
15-1252.00,Software Developers,Computer Application Engineer,,"04,08"
15-1252.00,Software Developers,Computer Architect,,08
15-1252.00,Software Developers,Computer Consultant,,08
15-1252.00,Software Developers,Computer Engineer,,08
15-1252.00,Software Developers,Computer Programmer Analyst,,08
15-1252.00,Software Developers,Computer Software Engineer,,08
15-1252.00,Software Developers,Computer Systems Software Architect,,"04,08"
15-1252.00,Software Developers,Computer Systems Software Engineer,,"04,08"
15-1252.00,Software Developers,Developer,,"01,02,08,10"
15-1252.00,Software Developers,DevOps Architect (Development and Operations Architect),DevOps Architect,01
15-1252.00,Software Developers,DevOps Developer (Development and Operations Developer),DevOps Developer,01
15-1252.00,Software Developers,DevOps Engineer (Development Operations Engineer),DevOps Engineer,"02,08"
15-1252.00,Software Developers,Drone Software Development Engineer,,08
15-1252.00,Software Developers,EDP System Engineer (Electronic Data Processing System Engineer),EDP System Engineer,08
15-1252.00,Software Developers,Embedded Engineer,,08
15-1252.00,Software Developers,Embedded Software Engineer,,01
15-1252.00,Software Developers,Embedded Systems Software Developer,,"04,08"
15-1252.00,Software Developers,Enterprise Systems Engineer,,"04,08"
15-1252.00,Software Developers,Extract Transform Load Developer,,01
15-1252.00,Software Developers,Full Stack Developer,,10
15-1252.00,Software Developers,Full Stack Software Engineer,,10
15-1252.00,Software Developers,Game Developer,,08
15-1252.00,Software Developers,Game Engineer,,08
15-1252.00,Software Developers,Graphic Engineer,,08
15-1252.00,Software Developers,Implementation Specialist,,08
15-1252.00,Software Developers,Information Architect,,08
15-1252.00,Software Developers,Infrastructure Engineer,,02
15-1252.00,Software Developers,Interface Designer,,08
15-1252.00,Software Developers,Internet Application Developer,,08
15-1252.00,Software Developers,Internet Consultant,,08
15-1252.00,Software Developers,Knowledge Management Application Developer,,08
15-1252.00,Software Developers,Mainframe Systems Programmer,,08
15-1252.00,Software Developers,Mobile Application Developer,,"01,04"
15-1252.00,Software Developers,Mobile Device Developer,,01
15-1252.00,Software Developers,Operating System Designer (OS Designer),OS Designer,08
15-1252.00,Software Developers,Operating System Specialist (OS Specialist),OS Specialist,08
15-1252.00,Software Developers,Publishing Systems Analyst,,08
15-1252.00,Software Developers,Secure Software Assessor,,08
15-1252.00,Software Developers,Server Engineer,,08
15-1252.00,Software Developers,Simulation Developer,,08
15-1252.00,Software Developers,Site Reliability Engineer,,10
15-1252.00,Software Developers,SOA Developer (Service Oriented Architecture Developer),SOA Developer,01
15-1252.00,Software Developers,Software Application Architect,,"04,08"
15-1252.00,Software Developers,Software Application Designer,,"04,08"
15-1252.00,Software Developers,Software Application Developer,,08
15-1252.00,Software Developers,Software Application Engineer,,"04,08"
15-1252.00,Software Developers,Software Application Specialist,,08
15-1252.00,Software Developers,Software Architect,,02
15-1252.00,Software Developers,Software Computer Specialist,,08
15-1252.00,Software Developers,Software Design Engineer,,08
15-1252.00,Software Developers,Software Designer,,08
15-1252.00,Software Developers,Software Developer,,"02,08"
15-1252.00,Software Developers,Software Development Engineer,,02
15-1252.00,Software Developers,Software Engineer,,"02,04,08,10"
15-1252.00,Software Developers,Software Engineering Systems IT Specialist (Software Engineering Systems Information Technology Specialist),Software Engineering Systems IT Specialist,08
15-1252.00,Software Developers,Software Quality Engineer (SQE),SQE,08
15-1252.00,Software Developers,Software Requirements Engineer (SRE),SRE,08
15-1252.00,Software Developers,Software Systems Developer,,04
15-1252.00,Software Developers,Software Systems Engineer,,"04,08"
15-1252.00,Software Developers,Software Writer,,08
15-1252.00,Software Developers,Solution Architect,,08
15-1252.00,Software Developers,Solution Engineer,,01
15-1252.00,Software Developers,Systems Analyst Engineer,,08
15-1252.00,Software Developers,Systems Coordinator,,08
15-1252.00,Software Developers,Systems Engineer,,"02,08"
15-1252.00,Software Developers,Systems Integration Engineer,,08
15-1252.00,Software Developers,Systems Software Designer,,"04,08"
15-1252.00,Software Developers,Systems Software Engineer,,08
15-1252.00,Software Developers,Systems Software Specialist,,"04,08"
15-1252.00,Software Developers,Systems Support Engineer,,08
15-1252.00,Software Developers,UI Designer (User Interface Designer),UI Designer,08
15-1252.00,Software Developers,Usability Engineer,,08
15-1252.00,Software Developers,Video Game Engineer,,08
15-1252.00,Software Developers,XML Developer (Extensible Markup Language Developer),XML Developer,01
15-1253.00,Software Quality Assurance Analysts and Testers,Application Integrator,,08
15-1253.00,Software Quality Assurance Analysts and Testers,Applications Analyst,,08
15-1253.00,Software Quality Assurance Analysts and Testers,Applications Quality Assurance Specialist (Applications QA Specialist),Applications QA Specialist,08
15-1253.00,Software Quality Assurance Analysts and Testers,Applications Software Engineering Information Technology Specialist (Applications Software Engineering IT Specialist),Applications Software Engineering IT Specialist,08
15-1253.00,Software Quality Assurance Analysts and Testers,Applications System Analyst,,08
15-1253.00,Software Quality Assurance Analysts and Testers,Applications Tester,,04
15-1253.00,Software Quality Assurance Analysts and Testers,Automation Tester,,"02,08"
15-1253.00,Software Quality Assurance Analysts and Testers,Beta Tester,,08
15-1253.00,Software Quality Assurance Analysts and Testers,Bug Bounty Hunter,,01
15-1253.00,Software Quality Assurance Analysts and Testers,Computer Consultant,,02
15-1253.00,Software Quality Assurance Analysts and Testers,Data Modeler,,08
15-1253.00,Software Quality Assurance Analysts and Testers,Game Tester,,08
15-1253.00,Software Quality Assurance Analysts and Testers,Implementation Specialist,,08
15-1253.00,Software Quality Assurance Analysts and Testers,Information Technology Analyst (IT Analyst),IT Analyst,02
15-1253.00,Software Quality Assurance Analysts and Testers,Information Technology Consultant (IT Consultant),IT Consultant,08
15-1253.00,Software Quality Assurance Analysts and Testers,IT Performance Analyst (Information Technology Performance Analyst),IT Performance Analyst,01
15-1253.00,Software Quality Assurance Analysts and Testers,Malware Analyst,,01
15-1253.00,Software Quality Assurance Analysts and Testers,Performance Tester,,10
15-1253.00,Software Quality Assurance Analysts and Testers,Quality Analyst,,08
15-1253.00,Software Quality Assurance Analysts and Testers,Quality Assurance Analyst (QA Analyst),QA Analyst,02
15-1253.00,Software Quality Assurance Analysts and Testers,Quality Assurance Automation Engineer (QA Automation Engineer),QA Automation Engineer,01
15-1253.00,Software Quality Assurance Analysts and Testers,Quality Assurance Engineer (QA Engineer),QA Engineer,"02,08"
15-1253.00,Software Quality Assurance Analysts and Testers,Quality Assurance Specialist (QA Specialist),QA Specialist,08
15-1253.00,Software Quality Assurance Analysts and Testers,Quality Assurance Tester (QA Tester),QA Tester,08
15-1253.00,Software Quality Assurance Analysts and Testers,Quality Engineer,,"02,08"
15-1253.00,Software Quality Assurance Analysts and Testers,Secure Software Assessor,,08
15-1253.00,Software Quality Assurance Analysts and Testers,Server Engineer,,08
15-1253.00,Software Quality Assurance Analysts and Testers,Software Application Quality Assurance Specialist (Software Application QA Specialist),Software Application QA Specialist,01
15-1253.00,Software Quality Assurance Analysts and Testers,Software Application Support Specialist,,01
15-1253.00,Software Quality Assurance Analysts and Testers,Software Installer,,08
15-1253.00,Software Quality Assurance Analysts and Testers,Software Quality Assurance Analyst (SQA Analyst),SQA Analyst,02
15-1253.00,Software Quality Assurance Analysts and Testers,Software Quality Assurance Consultant (Software QA Consultant),Software QA Consultant,10
15-1253.00,Software Quality Assurance Analysts and Testers,Software Quality Assurance Engineer (SQA Engineer),SQA Engineer,02
15-1253.00,Software Quality Assurance Analysts and Testers,Software Quality Assurance Specialist (SQA Specialist),SQA Specialist,08
15-1253.00,Software Quality Assurance Analysts and Testers,Software Quality Assurance Technician (SQA Technician),SQA Technician,04
15-1253.00,Software Quality Assurance Analysts and Testers,Software Quality Control Specialist (Software QC Specialist),Software QC Specialist,04
15-1253.00,Software Quality Assurance Analysts and Testers,Software Quality Engineer,,"02,04"
15-1253.00,Software Quality Assurance Analysts and Testers,Software Quality Tester,,08
15-1253.00,Software Quality Assurance Analysts and Testers,Software Requirements Engineer,,08
15-1253.00,Software Quality Assurance Analysts and Testers,Software Systems Engineer,,08
15-1253.00,Software Quality Assurance Analysts and Testers,Software Test Analyst,,08
15-1253.00,Software Quality Assurance Analysts and Testers,Software Test Engineer,,"02,04,10"
15-1253.00,Software Quality Assurance Analysts and Testers,Software Tester,,08
15-1253.00,Software Quality Assurance Analysts and Testers,Software Testing Specialist,,08
15-1253.00,Software Quality Assurance Analysts and Testers,Solution Architect,,08
15-1253.00,Software Quality Assurance Analysts and Testers,Solutions Architect,,08
15-1253.00,Software Quality Assurance Analysts and Testers,System Testing and Evaluation Specialist,,08
15-1253.00,Software Quality Assurance Analysts and Testers,Systems Analyst,,08
15-1253.00,Software Quality Assurance Analysts and Testers,Systems Analyst Engineer,,08
15-1253.00,Software Quality Assurance Analysts and Testers,Systems Coordinator,,08
15-1253.00,Software Quality Assurance Analysts and Testers,Systems Integration Engineer,,08
15-1253.00,Software Quality Assurance Analysts and Testers,Systems Software Quality Assurance Specialist (Systems Software QA Specialist),Systems Software QA Specialist,08
15-1253.00,Software Quality Assurance Analysts and Testers,Systems Software Specialist,,08
15-1253.00,Software Quality Assurance Analysts and Testers,Systems Support Engineer,,08
15-1253.00,Software Quality Assurance Analysts and Testers,Systems Tester,,08
15-1253.00,Software Quality Assurance Analysts and Testers,Systems Tester Analyst,,01
15-1253.00,Software Quality Assurance Analysts and Testers,Technical Support Engineer,,08
15-1253.00,Software Quality Assurance Analysts and Testers,Technology Analyst,,01
15-1253.00,Software Quality Assurance Analysts and Testers,Test Automation Engineer,,08
15-1253.00,Software Quality Assurance Analysts and Testers,Test Engineer,,02
15-1253.00,Software Quality Assurance Analysts and Testers,Usability Engineer,,08
15-1253.00,Software Quality Assurance Analysts and Testers,User Experience Designer (UX Designer),UX Designer,08
15-1253.00,Software Quality Assurance Analysts and Testers,User Interface and User Experience Architect (UI/UX Architect),UI/UX Architect,01
15-1253.00,Software Quality Assurance Analysts and Testers,User Interface and User Experience Designer (UI/UX Designer),UI/UX Designer,01
15-1253.00,Software Quality Assurance Analysts and Testers,User Interface Designer (UI Designer),UI Designer,08
15-1254.00,Web Developers,Back End Developer,,10
15-1254.00,Web Developers,Back End Engineer,,10
15-1254.00,Web Developers,Back End Software Engineer,,10
15-1254.00,Web Developers,Back-End Web Developer,,01
15-1254.00,Web Developers,Computer Graphic Artist,,08
15-1254.00,Web Developers,Computer Graphic Designer,,08
15-1254.00,Web Developers,Front End Developer,,08
15-1254.00,Web Developers,Front End Engineer,,10
15-1254.00,Web Developers,Front End Software Engineer,,10
15-1254.00,Web Developers,Front End Web Developer,,08
15-1254.00,Web Developers,Full Stack Developer,,10
15-1254.00,Web Developers,Full Stack Web Developer,,10
15-1254.00,Web Developers,HTML Developer (HyperText Markup Language Developer),HTML Developer,01
15-1254.00,Web Developers,Interface Designer,,08
15-1254.00,Web Developers,Internet Application Developer,,08
15-1254.00,Web Developers,Internet Architect,,08
15-1254.00,Web Developers,Internet Developer,,08
15-1254.00,Web Developers,Internet Site Designer,,08
15-1254.00,Web Developers,Internet Specialist,,08
15-1254.00,Web Developers,Intranet Developer,,"04,08"
15-1254.00,Web Developers,JavaScript Developer,,01
15-1254.00,Web Developers,jQuery Developer,,01
15-1254.00,Web Developers,Node.js Developer,,01
15-1254.00,Web Developers,PHP Developer (Personal Home Page Developer),PHP Developer,08
15-1254.00,Web Developers,PHP Web Developer (Personal Home Page Web Developer),PHP Web Developer,08
15-1254.00,Web Developers,PHP Website Developer,,08
15-1254.00,Web Developers,React.js Developer,,01
15-1254.00,Web Developers,Ruby on Rails Developer,,01
15-1254.00,Web Developers,Salesforce Developer,,01
15-1254.00,Web Developers,Tableau Developer,,01
15-1254.00,Web Developers,Technology Applications Engineer,,02
15-1254.00,Web Developers,UI Developer (User Interface Developer),UI Developer,10
15-1254.00,Web Developers,Web Application Developer,,01
15-1254.00,Web Developers,Web Applications Developer,,"04,08"
15-1254.00,Web Developers,Web Architect,,"02,04"
15-1254.00,Web Developers,Web Consultant,,01
15-1254.00,Web Developers,Web Content Developer,,"04,08"
15-1254.00,Web Developers,Web Design Specialist,,02
15-1254.00,Web Developers,Web Developer,,"02,04"
15-1254.00,Web Developers,Web Engineer,,08
15-1254.00,Web Developers,Web Infrastructure Developer,,01
15-1254.00,Web Developers,Web Page Developer,,08
15-1254.00,Web Developers,Web Producer,,08
15-1254.00,Web Developers,Web Programmer,,08
15-1254.00,Web Developers,Web Site Designer,,08
15-1254.00,Web Developers,Web Site Developer,,08
15-1254.00,Web Developers,Web Site Specialist,,08
15-1254.00,Web Developers,Web Software Engineer,,08
15-1254.00,Web Developers,Web Specialist,,08
15-1254.00,Web Developers,Web Technician,,01
15-1254.00,Web Developers,Webmaster,,02
15-1254.00,Web Developers,Webmaster Analyst,,01
